epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.1011,0,1,1,0,0.00024,0.00024,0.00024
2,141.53,0,1,1,0,0.0004901,0.0004901,0.0004901
3,212.633,0,1,1,0,0.000729904,0.000729904,0.000729904
4,272.395,0,1,1,0,0.000959412,0.000959412,0.000959412
5,329.806,0,1,1,0,0.00117862,0.00117862,0.00117862
6,394.488,0,1,1,0,0.00138754,0.00138754,0.00138754
7,466.127,0,1,1,0,0.00158616,0.00158616,0.00158616
8,541.879,0,1,1,0,0.0017228,0.0017228,0.0017228
9,601.324,0,1,1,0,0.0016832,0.0016832,0.0016832
10,683.763,0,1,1,0,0.0016436,0.0016436,0.0016436
11,757.07,0,1,1,0,0.001604,0.001604,0.001604
12,828.006,0,1,1,0,0.0015644,0.0015644,0.0015644
13,895.278,0,1,1,0,0.0015248,0.0015248,0.0015248
14,967.646,0,1,1,0,0.0014852,0.0014852,0.0014852
15,1039.06,0,1,1,0,0.0014456,0.0014456,0.0014456
16,1109.44,0,1,1,0,0.001406,0.001406,0.001406
17,1173.75,0,1,1,0,0.0013664,0.0013664,0.0013664
18,1238.2,0,1,1,0,0.0013268,0.0013268,0.0013268
19,1300.82,0,1,1,0,0.0012872,0.0012872,0.0012872
20,1388.42,0,1,1,0,0.0012476,0.0012476,0.0012476
21,1453.27,0,1,1,0,0.001208,0.001208,0.001208
22,1513.28,0,1,1,0,0.0011684,0.0011684,0.0011684
23,1579.2,0,1,1,0,0.0011288,0.0011288,0.0011288
24,1645.74,0,1,1,0,0.0010892,0.0010892,0.0010892
25,1706.38,0,1,1,0,0.0010496,0.0010496,0.0010496
26,1769.89,0,1,1,0,0.00101,0.00101,0.00101
27,1842.3,0,1,1,0,0.0009704,0.0009704,0.0009704
28,1899.48,0,1,1,0,0.0009308,0.0009308,0.0009308
29,1954.49,0,1,1,0,0.0008912,0.0008912,0.0008912
30,2007.8,0,1,1,0,0.0008516,0.0008516,0.0008516
31,2065.85,0,1,1,0,0.000812,0.000812,0.000812
32,2120.56,0,1,1,0,0.0007724,0.0007724,0.0007724
33,2180.59,0,1,1,0,0.0007328,0.0007328,0.0007328
34,2258.11,0,1,1,0,0.0006932,0.0006932,0.0006932
35,2322.25,0,1,1,0,0.0006536,0.0006536,0.0006536
36,2377.63,0,1,1,0,0.000614,0.000614,0.000614
37,2432.83,0,1,1,0,0.0005744,0.0005744,0.0005744
38,2514.39,0,1,1,0,0.0005348,0.0005348,0.0005348
39,2573.85,0,1,1,0,0.0004952,0.0004952,0.0004952
40,2630.04,0,1,1,0,0.0004556,0.0004556,0.0004556
41,2683.67,0,1,1,0,0.000416,0.000416,0.000416
42,2736.98,0,1,1,0,0.0003764,0.0003764,0.0003764
43,2794.78,0,1,1,0,0.0003368,0.0003368,0.0003368
44,2850.26,0,1,1,0,0.0002972,0.0002972,0.0002972
45,2904.08,0,1,1,0,0.0002576,0.0002576,0.0002576
46,2956.97,0,1,1,0,0.000218,0.000218,0.000218
47,3011.09,0,1,1,0,0.0001784,0.0001784,0.0001784
48,3066.29,0,1,1,0,0.0001388,0.0001388,0.0001388
49,3118.97,0,1,1,0,9.92e-05,9.92e-05,9.92e-05
50,3342.43,0,1,1,0,5.96e-05,5.96e-05,5.96e-05
